test_idx,degree,format,learning_rate,max_iter,cycles,hw_loss,golden_loss,max_abs_err_vs_golden,mean_abs_err_vs_golden,max_abs_err_vs_true,mean_abs_err_vs_true,true_0,golden_0,hw_0,abs_err_vs_golden_0,abs_err_vs_true_0,true_1,golden_1,hw_1,abs_err_vs_golden_1,abs_err_vs_true_1,true_2,golden_2,hw_2,abs_err_vs_golden_2,abs_err_vs_true_2,true_3,golden_3,hw_3,abs_err_vs_golden_3,abs_err_vs_true_3
37,3,FP32,1.000000e-02,900,1974092,2.646188e-01,7.876598e-02,7.9019e-01,3.6682e-01,7.8768e-01,3.1089e-01,-2.69112749,-2.83092595,-2.54162264,2.8930e-01,1.4950e-01,-1.32812121,-1.32560575,-2.11579990,7.9019e-01,7.8768e-01,2.44959532,2.50815818,2.42252970,8.5628e-02,2.7066e-02,-1.56262866,-1.58548928,-1.28332388,3.0217e-01,2.7930e-01
37,3,FP16,1.000000e-02,900,1974092,5.448818e-01,7.876598e-02,1.1724e+00,5.9237e-01,1.1699e+00,5.3643e-01,-2.69112749,-2.83092595,-2.27343750,5.5749e-01,4.1769e-01,-1.32812121,-1.32560575,-2.49804688,1.1724e+00,1.1699e+00,2.44959532,2.50815818,2.31640625,1.9175e-01,1.3319e-01,-1.56262866,-1.58548928,-1.13769531,4.4779e-01,4.2493e-01
37,3,FP16ALT,1.000000e-02,900,1974092,7.900505e-01,7.876598e-02,1.1434e+00,6.6146e-01,1.0036e+00,6.0553e-01,-2.69112749,-2.83092595,-1.68750000,1.1434e+00,1.0036e+00,-1.32812121,-1.32560575,-2.04687500,7.2127e-01,7.1875e-01,2.44959532,2.50815818,2.00000000,5.0816e-01,4.4960e-01,-1.56262866,-1.58548928,-1.31250000,2.7299e-01,2.5013e-01
38,3,FP64,1.000000e-02,900,1974092,6.144912e-01,8.054154e-02,1.1533e+00,6.1007e-01,1.1799e+00,6.1352e-01,-2.13063077,-2.13742849,-1.50680715,6.3062e-01,6.2382e-01,-0.06328344,-0.08984934,-1.24317278,1.1533e+00,1.1799e+00,2.91390272,2.91309306,2.71198704,2.0111e-01,2.0192e-01,-1.54766837,-1.55441679,-1.09920188,4.5521e-01,4.4847e-01
38,3,FP32,1.000000e-02,900,1974092,6.144905e-01,8.054154e-02,1.1533e+00,6.1007e-01,1.1799e+00,6.1352e-01,-2.13063077,-2.13742849,-1.50680804,6.3062e-01,6.2382e-01,-0.06328344,-0.08984934,-1.24317253,1.1533e+00,1.1799e+00,2.91390272,2.91309306,2.71198750,2.0111e-01,2.0192e-01,-1.54766837,-1.55441679,-1.09920204,4.5521e-01,4.4847e-01
38,3,FP16,1.000000e-02,900,1974092,7.286632e-01,8.054154e-02,1.2207e+00,6.7833e-01,1.2473e+00,6.8179e-01,-2.13063077,-2.13742849,-1.38671875,7.5071e-01,7.4391e-01,-0.06328344,-0.08984934,-1.31054688,1.2207e+00,1.2473e+00,2.91390272,2.91309306,2.65429688,2.5880e-01,2.5961e-01,-1.54766837,-1.55441679,-1.07128906,4.8313e-01,4.7638e-01
38,3,FP16ALT,1.000000e-02,900,1974092,1.295857e+00,8.054154e-02,1.4265e+00,8.8658e-01,1.4197e+00,8.9004e-01,-2.13063077,-2.13742849,-0.71093750,1.4265e+00,1.4197e+00,-0.06328344,-0.08984934,-1.14843750,1.0586e+00,1.0852e+00,2.91390272,2.91309306,2.26562500,6.4747e-01,6.4828e-01,-1.54766837,-1.55441679,-1.14062500,4.1379e-01,4.0704e-01
39,3,FP64,1.000000e-02,900,1974092,9.671671e-02,9.404532e-02,3.8673e-02,1.5531e-02,1.3675e-01,7.8041e-02,1.03281328,1.05330386,1.09197700,3.8673e-02,5.9164e-02,1.56971769,1.41704537,1.43297028,1.5925e-02,1.3675e-01,-1.57417474,-1.62883605,-1.62999028,1.1542e-03,5.5816e-02,1.36929809,1.42336504,1.42973532,6.3703e-03,6.0437e-02
39,3,FP32,1.000000e-02,900,1974092,9.671675e-02,9.404532e-02,3.8673e-02,1.5531e-02,1.3675e-01,7.8041e-02,1.03281328,1.05330386,1.09197700,3.8673e-02,5.9164e-02,1.56971769,1.41704537,1.43296981,1.5924e-02,1.3675e-01,-1.57417474,-1.62883605,-1.62999010,1.1541e-03,5.5815e-02,1.36929809,1.42336504,1.42973554,6.3705e-03,6.0437e-02
39,3,FP16,1.000000e-02,900,1974092,1.008824e-01,9.404532e-02,1.6792e-01,7.8487e-02,3.5255e-02,1.7235e-02,1.03281328,1.05330386,0.99755859,5.5745e-02,3.5255e-02,1.56971769,1.41704537,1.58496094,1.6792e-01,1.5243e-02,-1.57417474,-1.62883605,-1.59179688,3.7039e-02,1.7622e-02,1.36929809,1.42336504,1.37011719,5.3248e-02,8.1910e-04
